XFLR5 v6.09.01 beta
NACA 0014
T1_Al 0.00_M0.30_N12.0
Alpha =  30.0,  Re = 30000000,  Ma = 0.3000,  ACrit =12.0 

   x        Cpi      Cpv        Qi        Qv
 0.1634    0.968     0.849     0.235    -0.417
 0.1733    0.987     0.826     0.190    -0.443
 0.1835    1.002     0.803     0.147    -0.469
 0.1939    1.012     0.780     0.107    -0.493
 0.2046    1.019     0.756     0.069    -0.515
 0.2155    1.022     0.733     0.033    -0.537
 0.2266    1.024     0.710    -0.001    -0.558
 0.2379    1.022     0.687    -0.034    -0.578
 0.2494    1.019     0.664    -0.065    -0.597
 0.2611    1.015     0.642    -0.094    -0.615
 0.2730    1.009     0.620    -0.122    -0.633
 0.2851    1.002     0.598    -0.149    -0.649
 0.2974    0.993     0.576    -0.174    -0.666
 0.3099    0.984     0.555    -0.198    -0.681
 0.3225    0.975     0.534    -0.221    -0.696
 0.3353    0.964     0.513    -0.243    -0.710
 0.3482    0.954     0.493    -0.265    -0.724
 0.3613    0.942     0.472    -0.285    -0.738
 0.3746    0.931     0.452    -0.304    -0.751
 0.3880    0.919     0.433    -0.323    -0.764
 0.4015    0.907     0.413    -0.341    -0.776
 0.4152    0.895     0.394    -0.358    -0.788
 0.4289    0.883     0.375    -0.374    -0.799
 0.4428    0.871     0.356    -0.390    -0.811
 0.4568    0.859     0.338    -0.405    -0.822
 0.4709    0.847     0.319    -0.420    -0.833
 0.4850    0.834     0.301    -0.434    -0.843
 0.4993    0.822     0.282    -0.448    -0.854
 0.5136    0.810     0.264    -0.461    -0.864
 0.5280    0.798     0.246    -0.473    -0.874
 0.5424    0.786     0.228    -0.486    -0.884
 0.5569    0.775     0.210    -0.498    -0.894
 0.5714    0.763     0.192    -0.509    -0.903
 0.5860    0.751     0.174    -0.520    -0.913
 0.6005    0.740     0.156    -0.531    -0.923
 0.6151    0.729     0.137    -0.541    -0.932
 0.6297    0.717     0.119    -0.551    -0.941
 0.6442    0.706     0.100    -0.561    -0.951
 0.6588    0.695     0.082    -0.571    -0.960
